,Cluster,Baseline Water Stress,Baseline Water Withdrawals,Interannual Variation,Seasonal Variation,Groundwater Table Decline,Riverine Flood Risk,Coastal Flood Risk,Drought Risk,Untreated Connected Wastewater,Unimproved Drinking Water,Unimproved Sanitation,Infant Mortality Rate,Nighttime Light,Population Density,Count,Rank
11,10,0.4035574580853338,0.36369601719261513,0.6714281840203836,0.3442313650957552,-0.013626231189349162,0.003283187725270669,4.240789969623169e-06,1.6454837473168997,0.19112730769230546,2.6291547819163513e-05,0.0,3.147785082637623,0.35740978409101104,36.002392631794685,845,14.0
12,11,0.5490608551611542,0.5451554294017145,1.2285539316498206,0.7654134936728779,-0.48928460359558984,0.001871468048996706,3.4405856978015034e-05,1.0777164328769877,0.19022499999999892,5.978317275285074e-06,0.0,3.7825259515571257,0.1675862637317509,2.274829078321706,544,10.0
13,12,0.009869981985630874,0.0033503046680383873,0.3288198801332332,0.4441252326710701,0.1748330472156196,0.005323384077237983,2.5289572047422653e-05,1.3689034894705607,0.8354299668930517,0.11171481169941642,0.30388501124842177,15.061770496770912,0.6559917400319448,116.60027549223018,1178,17.0
14,13,0.05278102094942656,0.01788557770544748,0.39800446514314947,0.5031477345141404,-0.06773986276548659,0.005081271219792924,0.00010381978813980874,2.5942566991129614,0.9277131415929211,0.1144951743298184,0.20688927988210887,16.856644975812006,1.4157416432834504,540.1932995754223,226,2.0
15,14,0.021352457593263863,0.016406639835683464,0.4041774926566746,0.7928544020773657,0.3753178342504568,0.004362167930144503,2.3202410040237003e-05,1.6888976763491217,0.8444099159049454,0.10271701903983184,0.3895170801714418,14.255421515668742,0.6467446499179698,91.44878339753996,547,11.0
16,15,0.1380146494998527,0.08973985124527824,0.48592006324454284,0.8063074362991492,0.21551429988668552,0.003236562276474233,1.3508165971009014e-05,2.479487672064174,0.840600954674222,0.10144939420612935,0.3840341586018059,13.368844318653254,1.3476025210701845,224.86228909234194,353,5.0
17,16,0.03566935205859896,0.015963858303658866,0.44808984148250663,0.38142650081535995,0.21108528857142966,0.002430997223990614,8.757960452777796e-06,2.7422580666191743,0.8497492895752947,0.07924080717053067,0.33198341295440165,14.782116546500276,2.08225432926128,337.2288272816388,518,9.0
18,17,0.09116929349571916,0.07498364554537258,0.41862826411623855,0.3153175020041806,0.24238017806122325,0.0030297812876430882,1.0214638108084986e-06,2.9896267851944103,0.608146798469383,0.004619103982270704,0.04973224164593918,9.728744551612337,1.251066364843282,96.72379652448909,392,6.0
19,18,0.16434733074702915,0.1493254112931302,0.39815155776577077,0.2951437759768454,-0.11370452233710407,0.00453127262577095,2.6551693988045094e-05,1.4339601832709055,0.3571157171945676,0.00027700485405183047,0.03696876193372838,8.634937330345426,0.43105157404282757,33.449815890837314,442,8.0
20,19,0.26808597408734686,0.1451770806641744,0.4550077823268864,0.8249020937605431,-0.03761980027493925,0.003434985126512153,1.4474126853501347e-05,1.0643724507073993,0.25206195133819903,0.016822629079872496,0.009101464543845953,5.149986328246492,0.6928748951409647,22.85323685214157,822,13.0
21,20,0.1726661581754184,0.05980540528344115,0.41912802313785774,0.4013531599936929,0.13062644649859909,0.002445097052520701,5.429325711878976e-06,2.611260853256779,0.3545580588235287,0.03067371281995268,0.020950005581785985,7.136310136427232,2.4245599146710908,211.47252891011848,714,12.0
